CUSTOMER NAME,BNY Customer Group,Paramount Customer Group,3rd Party vs  House,MTO 3rd Party vs House
Carleton V Ltd.,Contract,CarletonV,3rd Party,3rd Party
Serena & Lily,Contract,Serena & Lily,3rd Party,3rd Party
E.W. Bredemeier & Co.,Contract,Serena & Lily,3rd Party,3rd Party
The Airtex Group,Contract,Serena & Lily,3rd Party,3rd Party
Lee Industries,Contract,Serena & Lily,3rd Party,3rd Party
"Serena & Lily, SERENA & LILY DISTRIBUTION CENTER",Contract,Serena & Lily,3rd Party,3rd Party
China Seas,Quadrille Inc.,Quadrille Inc.,3rd Party,3rd Party
Cowtan and Tout,Cowtan and Tout,Cowtan and Tout,3rd Party,3rd Party
Kravet,Kravet Inc.,Kravet Inc.,3rd Party,3rd Party
Quadrille Inc.,Quadrille Inc.,Quadrille Inc.,3rd Party,3rd Party
Universal Converters & Importers,Fabricut,Fabricut,3rd Party,3rd Party
CLK Collective,Small Customer,Small Customer,3rd Party,3rd Party
Greige Textiles,Small Customer,Small Customer,3rd Party,3rd Party
Maison C.,Small Customer,Small Customer,3rd Party,3rd Party
Mally Skok Design,Contract,Mally Skok Design,3rd Party,3rd Party
McLaurin & Piercy,McLaurin & Piercy,McLaurin & Piercy,3rd Party,3rd Party
Meg Braff Designs,Meg Braff Designs,Meg Braff Designs,3rd Party,3rd Party
Given Campbell,Small Customer,Small Customer,3rd Party,3rd Party
Studio Four NYC,Small Customer,Small Customer,3rd Party,3rd Party
Walter Knabe Studios Inc.,Small Customer,Small Customer,3rd Party,3rd Party
20TH CENTURY FOX FILM CORP,Small Customer,Small Customer,3rd Party,3rd Party
3FORM,3FORM,3FORM,3rd Party,3rd Party
Amy Karyn Inc.,Small Customer,Small Customer,3rd Party,3rd Party
BRIGHTON CONCEPTS LTD,Small Customer,Small Customer,3rd Party,3rd Party
CarletonV,CarletonV,CarletonV,3rd Party,3rd Party
"China Seas ""Screens"" Account",China Seas,China Seas,3rd Party,3rd Party
Claire Burbridge Design,Small Customer,Small Customer,3rd Party,3rd Party
Ellisha Alexina Textiles,Small Customer,Small Customer,3rd Party,3rd Party
EMILY DICKINSON MUSEUM,Small Customer,Small Customer,3rd Party,3rd Party
FAYCE TEXTILES,Small Customer,Small Customer,3rd Party,3rd Party
KLSHAND LLC,Small Customer,Small Customer,3rd Party,3rd Party
Kravet Inc.,Kravet Inc.,Kravet Inc.,3rd Party,3rd Party
