PRODUCT TYPE,Divisions,PRODUCT TYPE Grouped,Type Yards vs Fees,Division Screen + Procure
Design Services,Design Services,Design Services,Design Services,Design Services
Contract Fabric,Digital,Contract,Yards,Digital
Contract Wallpaper,Digital,Contract,Yards,Digital
Credit Memo,Digital,Other Fees,Yards,Digital
Custom,Digital,Other Fees,Yards,Digital
Engineered Wings,Digital,Engineered Wings,Yards,Digital
Handling Fee,Digital,Other Fees,Fees,Digital
Hospitality,Digital,Hospitality,Yards,Digital
Memo,Digital,Memo,Yards,Digital
Panel,Digital,Panel,Yards,Digital
Peel & Stick,Digital,Peel & Stick,Yards,Digital
Regular,Digital,Regular,Yards,Digital
Rush Fee - Digital,Digital,Other Fees,Fees,Digital
Fabric,Screen Print,Fabric,Yards,Screen Print
Grass,Screen Print,Grass,Yards,Screen Print
Grounds,Screen Print,Grounds,Ground,Screen Print
Packing Charge,Screen Print,Other Fees,Fees,Screen Print
Paper,Screen Print,Paper,Yards,Screen Print
Rush Fee,Screen Print,Other Fees,Fees,Screen Print
Screen,Screen Print,Other Fees,Fees,Screen Print
Set-up Fee,Screen Print,Other Fees,Fees,Screen Print
Shipping Fees,Screen Print,Other Fees,Fees,Screen Print
Strike-off,Screen Print,Other Fees,Yards,Screen Print
Price Sheet Pricing - For Pricing Only,Screen Print,Other Fees,Fees,Screen Print
Virtual Catalog for Order Type 1143,Screen Print,Other Fees,Fees,Screen Print
Rush Fee - Screen Print,Screen Print,Other Fees,Fees,Screen Print
Digital,Digital,Grounds,Ground,Digital
Screen Print,Screen Print,Grounds,Ground,Screen Print
Creative Services,Design Services,Design Services,Design Services,Design Services
Rotary,Screen Print,Fabric,Yards,Screen Print
SCHUMACHER PROC,Procurement,Procurement,Ground,Screen Print
Panel Screen,Screen Print,Paper,Yards,Screen Print
Memo Screen,Screen Print,Paper,Yards,Screen Print
Surcharge,Screen Print,Other Fees,Fees,Screen Print
Engineered Wings Screen,Screen Print,Paper,Yards,Screen Print
CUSTOM STRIPE,Screen Print,Paper,Yards,Screen Print
