ORDER_NUMBER,LINE_NUMBER,CUSTOMER_NAME,CUSTOMER_TYPE,PO_NUMBER,INVOICE_NUMBER,ORDER_CREATED_DATE,PRINTED_DATE,ESTIMATED_SHIP_DATE,ACTUAL_SHIP_DATE,INVOICE_DATE,ITEM_SKU,LINE_DESCRIPTION,MATERIAL,ORDER_STATUS,INVOICE_STATUS,QTY_ORDERED,QTY_PRINTED,QTY_TO_DELIVER,QTY_DELIVERED,QTY_INVOICED,ACT_UNIT_PRICE,ORDERED_SALES,PRODUCED_SALES,PRODUCED_COST,INVOICED_REVENUE,UOM,TOTAL_YARDS,YARDS_INVOICED,INK_USAGE,INK_TOTAL_COST,SHIPPING_TOTAL,TAX_TOTAL,AMOUNT_PAID,PAYMENT_STATUS,FLAGS,FLAGS_TEXT,PATTERN_WIDTH,PATTERN_HEIGHT,ORDER_TYPE,PRINTED_WIDTH,PRINTED_HEIGHT,CORRECT_AMOUNT_PRINTED,Source Data,STORAGE_TYPE,CUT_OPTION,Product Type,Type Yards vs Fees,Memo Yield,Yield,Material if Blank,Schu Grounds,Schu Ground Yards,Category Customer MTO,Single Kit Order Number,All Kit Order Number,Kitted Vs NOT Kitted,Single Ground Price,Kit Ground Price,Price NO Kitting,Kit Ordered Income,Qty Wasted,WIP,New Goods,Single Held to Invoice,Holding to Invoice,Number of Colors,Yards Written Rounded,Ground Direct No Print,Division,Order-Line,New Goods Flag,Machine Name,Single Yard Order Status,Yard Order Status
52404,,China Seas,,52404,SI-52404,5/23/2022,6/6/2022,,,6/6/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52404-,,,,Invoiced
52429,,China Seas,,52429,SI-52429,5/25/2022,6/8/2022,,,6/8/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52429-,,,,Invoiced
52435,,China Seas,,52435,SI-52435,5/26/2022,6/9/2022,,,6/9/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52435-,,,,Invoiced
52438,,Quadrille Inc.,,52438,SI-52438,5/26/2022,6/9/2022,,,6/9/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52438-,,,,Invoiced
52442,,China Seas,,52442,SI-52442,5/26/2022,6/9/2022,,,6/9/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52442-,,,,Invoiced
52443,,China Seas,,52443,SI-52443,5/26/2022,6/9/2022,,,6/9/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52443-,,,,Invoiced
52453,,Quadrille Inc.,,52453,SI-52453,5/27/2022,6/10/2022,,,6/10/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52453-,,,,Invoiced
52474,,China Seas,,52474,SI-52474,5/30/2022,6/13/2022,,,6/13/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52474-,,,,Invoiced
52476,,China Seas,,52476,SI-52476,5/30/2022,6/13/2022,,,6/13/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52476-,,,,Invoiced
52483,,China Seas,,52483,SI-52483,5/31/2022,6/14/2022,,,6/14/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52483-,,,,Invoiced
52484,,China Seas,,52484,SI-52484,5/31/2022,6/14/2022,,,6/14/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52484-,,,,Invoiced
52494,,Quadrille Inc.,,52494,SI-52494,6/1/2022,6/15/2022,,,6/15/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52494-,,,,Invoiced
52496,,China Seas,,52496,SI-52496,6/1/2022,6/15/2022,,,6/15/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52496-,,,,Invoiced
52498,,China Seas,,52498,SI-52498,6/1/2022,6/15/2022,,,6/15/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52498-,,,,Invoiced
52507,,Quadrille Inc.,,52507,SI-52507,6/2/2022,6/16/2022,,,6/16/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52507-,,,,Invoiced
52511,,China Seas,,52511,SI-52511,6/2/2022,6/16/2022,,,6/16/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52511-,,,,Invoiced
52522,,China Seas,,52522,SI-52522,6/3/2022,6/17/2022,,,6/17/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52522-,,,,Invoiced
52535,,China Seas,,52535,SI-52535,6/6/2022,6/20/2022,,,6/20/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52535-,,,,Invoiced
52536,,China Seas,,52536,SI-52536,6/6/2022,6/20/2022,,,6/20/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52536-,,,,Invoiced
52576,,Quadrille Inc.,,52576,SI-52576,6/9/2022,6/23/2022,,,6/23/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,Everest,,,Shipping Fees,Fees,,1,"	--> Select Material",,,Shipping Fees,,,NOT Kitted,0,0,2.95,0,0,DONE,Other,WIP,DONE,,1,0,Screen Print,52576-,,,,Invoiced
