ORDER_NUMBER,LINE_NUMBER,CUSTOMER_NAME,CUSTOMER_TYPE,PO_NUMBER,INVOICE_NUMBER,ORDER_CREATED_DATE,PRINTED_DATE,ESTIMATED_SHIP_DATE,ACTUAL_SHIP_DATE,INVOICE_DATE,ITEM_SKU,LINE_DESCRIPTION,MATERIAL,ORDER_STATUS,INVOICE_STATUS,QTY_ORDERED,QTY_PRINTED,QTY_TO_DELIVER,QTY_DELIVERED,QTY_INVOICED,ACT_UNIT_PRICE,ORDERED_SALES,PRODUCED_SALES,PRODUCED_COST,INVOICED_REVENUE,UOM,TOTAL_YARDS,YARDS_INVOICED,INK_USAGE,INK_TOTAL_COST,SHIPPING_TOTAL,TAX_TOTAL,AMOUNT_PAID,PAYMENT_STATUS,FLAGS,FLAGS_TEXT,PATTERN_WIDTH,PATTERN_HEIGHT,ORDER_TYPE,CORRECT_AMOUNT_PRINTED,PRINTED_WIDTH,PRINTED_HEIGHT,STORAGE_TYPE,CUT_OPTION,Source Data,Product Type,Memo Yield,Yield,Type Yards vs Fees,Act Print Date,Single Kit Order Number,All Kit Order Number,Kitted vs NOT Kitted,Schu Grounds,Category Customer MTO,Single Ground Price,Kit Ground Price,Kit Produced Income,Calc Yards Produced,Schu Ground Yards,Order-Line,Unit Price Ordered,Ground Direct No Print,Division,New Goods Flag,Holding to Invoice,Single Held to Invoice,New Goods,WIP,Machine Name,Manual Machine Name,Machine Name Combined
52404,,China Seas,,52404,SI-52404,5/23/2022,6/6/2022,,,6/6/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Shipping Fees,,1,Fees,44718,,,NOT Kitted,,Shipping Fees,0,0,0,0,,52404-,2.95,0,Screen Print,,DONE,WIP,Other,DONE,,,
52429,,China Seas,,52429,SI-52429,5/25/2022,6/8/2022,,,6/8/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Shipping Fees,,1,Fees,44720,,,NOT Kitted,,Shipping Fees,0,0,0,0,,52429-,2.95,0,Screen Print,,DONE,WIP,Other,DONE,,,
52435,,China Seas,,52435,SI-52435,5/26/2022,6/9/2022,,,6/9/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Shipping Fees,,1,Fees,44721,,,NOT Kitted,,Shipping Fees,0,0,0,0,,52435-,2.95,0,Screen Print,,DONE,WIP,Other,DONE,,,
52438,,Quadrille Inc.,,52438,SI-52438,5/26/2022,6/9/2022,,,6/9/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Shipping Fees,,1,Fees,44721,,,NOT Kitted,,Shipping Fees,0,0,0,0,,52438-,2.95,0,Screen Print,,DONE,WIP,Other,DONE,,,
52442,,China Seas,,52442,SI-52442,5/26/2022,6/9/2022,,,6/9/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Shipping Fees,,1,Fees,44721,,,NOT Kitted,,Shipping Fees,0,0,0,0,,52442-,2.95,0,Screen Print,,DONE,WIP,Other,DONE,,,
52443,,China Seas,,52443,SI-52443,5/26/2022,6/9/2022,,,6/9/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Shipping Fees,,1,Fees,44721,,,NOT Kitted,,Shipping Fees,0,0,0,0,,52443-,2.95,0,Screen Print,,DONE,WIP,Other,DONE,,,
52453,,Quadrille Inc.,,52453,SI-52453,5/27/2022,6/10/2022,,,6/10/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Shipping Fees,,1,Fees,44722,,,NOT Kitted,,Shipping Fees,0,0,0,0,,52453-,2.95,0,Screen Print,,DONE,WIP,Other,DONE,,,
52474,,China Seas,,52474,SI-52474,5/30/2022,6/13/2022,,,6/13/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Shipping Fees,,1,Fees,44725,,,NOT Kitted,,Shipping Fees,0,0,0,0,,52474-,2.95,0,Screen Print,,DONE,WIP,Other,DONE,,,
52476,,China Seas,,52476,SI-52476,5/30/2022,6/13/2022,,,6/13/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Shipping Fees,,1,Fees,44725,,,NOT Kitted,,Shipping Fees,0,0,0,0,,52476-,2.95,0,Screen Print,,DONE,WIP,Other,DONE,,,
52483,,China Seas,,52483,SI-52483,5/31/2022,6/14/2022,,,6/14/2022,TubesP,Fabric Shipping Tubes,,Invoiced,Approved,1,1,,,1,2.95,2.95,,,2.95,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Shipping Fees,,1,Fees,44726,,,NOT Kitted,,Shipping Fees,0,0,0,0,,52483-,2.95,0,Screen Print,,DONE,WIP,Other,DONE,,,
