Machine name,Machine Type,Location,Max Output 1 Shift,Planned Output 2026
Bianca,570,BNY,100,50
Chyna,570,BNY,100,50
Dakota Kai,570,Paramount,100,60
EMBER,570,Paramount,100,60
Glow,3600,BNY,600,500
LASH,570,BNY,100,50
Rhonda,570,BNY,100,0
Ruby,570,Paramount,100,60
Serena,Contract,Contract,100,60
Sasha,3600,BNY,600,500
Trish,3600,BNY,600,500
XIA,570,Paramount,100,60
Dementia,570,Paramount,100,60
Ivy Nile,570,Paramount,100,60
Jacy Jayne,570,Paramount,100,60
Valhalla,570,Paramount,100,60
Zoey,570,Paramount,100,60
Flr-2 Table-1,Flr-2,Paramount,75,
Flr-2 Table-2,Flr-2,Paramount,75,
Flr-2 Table-3,Flr-2,Paramount,75,
Flr-2 Table-4,Flr-2,Paramount,75,
Flr-2 Table-5,Flr-2,Paramount,75,
Flr-2 Table-6,Flr-2,Paramount,75,
Flr-2 Table-7,Flr-2,Paramount,75,
Flr-2 Table-8,Flr-2,Paramount,75,
Flr-2 Table-9,Flr-2,Paramount,75,
Flr-2 Table-10,Flr-2,Paramount,75,
Flr-2 Table-11,Flr-2,Paramount,75,
Flr-2 Table-12,Flr-2,Paramount,75,
Flr-3 Table-1,Flr-3,Paramount,180,
Flr-3 Table-2,Flr-3,Paramount,180,
Flr-3 Table-3,Flr-3,Paramount,180,
Flr-3 Table-4,Flr-3,Paramount,180,
Flr-3 Table-5,Flr-3,Paramount,180,
Flr-3 Table-6,Flr-3,Paramount,180,
