Order-Line,Order number,Line Number,Order title,Customer name,Account Manager,Sales Rep,Line Description,Product Name,Material,Material Category,Material Sub Category,Storage type,Amount,Amount Numeric,Unit cost,Extended cost,Width per print,Prints across,Machine name,Machine mode,GL Code,Cost Step,Current Step,Order Status,Batch Id,Cost Transaction Date,Cost Created By,Line Revenue,Tags,Line Tags,Com Message Text
F0008749-1,F0008749,1,MTO (F0008749),F. SCHUMACHER & CO - MTO,,,Margaret Schloeman's Fox Chase,Margaret Schloeman's Fox Chase - 5016151 (NavyGreen),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",123 Linear Feet,123,0,0.05,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2366368,7/8/2025,COCONNOR@FSCO.COM,,,10,
F0008971-1,F0008971,1,MTO (F0008971),F. SCHUMACHER & CO - MTO,,,Sequoia Stripe,Sequoia Stripe  - 5011531 (Camel),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",183 Linear Feet,183,0,0.08,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2424251,7/25/2025,SHELBY,,,10,
F0009121-1,F0009121,1,MTO (F0009121),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5011913 (Butternut),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2381705,7/11/2025,COCONNOR@FSCO.COM,,,10,
F0009139-1,F0009139,1,MTO (F0009139),F. SCHUMACHER & CO - MTO,,,Star Anise,Star Anise - 5014940 (Mink),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2444742,8/1/2025,SHELBY,,,10,
F0009151-1,F0009151,1,MTO (F0009151),F. SCHUMACHER & CO - MTO,,,Margaret Schloeman's Fox Chase,Margaret Schloeman's Fox Chase - 5016151 (NavyGreen),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",93 Linear Feet,93,0,0.04,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2366371,7/8/2025,COCONNOR@FSCO.COM,,,10,
F0009152-1,F0009152,1,MTO (F0009152),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5011883 (Seaglass),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",51.0669 Linear Feet,51.0669,0,0.02,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2366369,7/8/2025,COCONNOR@FSCO.COM,,,10,
F0009240-1,F0009240,1,MTO (F0009240),F. SCHUMACHER & CO - MTO,,,Bloomsbury,Bloomsbury - 5013680 (LightPink),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",123 Linear Feet,123,0,0.05,30 inches,2,XIA,300dpi,,Print,Invoiced,Invoiced,2410966,7/22/2025,SARAH,,,10,
F0009260-1,F0009260,1,MTO (F0009260),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5013611 (Straw),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2460393,8/7/2025,SHELBY,,,10,
F0009261-1,F0009261,1,MTO (F0009261),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5011907 (Navy),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2381712,7/11/2025,COCONNOR@FSCO.COM,,,10,
F0009270-1,F0009270,1,MTO (F0009270),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5013602 (Eucalyptus),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",123 Linear Feet,123,0,0.05,30 inches,2,Chyna,300dpi,,Print,Invoiced,Invoiced,2370833,7/9/2025,COCONNOR@FSCO.COM,,,10,
F0009297-1,F0009297,1,MTO (F0009297),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5011907 (Navy),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",153 Linear Feet,153,0,0.07,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2381717,7/11/2025,COCONNOR@FSCO.COM,,,10,
F0009360-1,F0009360,1,MTO (F0009360),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5011903 (Seaglass),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",183 Linear Feet,183,0,0.08,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2424279,7/25/2025,SHELBY,,,10,
F0009372-1,F0009372,1,MTO (F0009372),F. SCHUMACHER & CO - MTO,,,Willa Check Small,Willa Check Small - 5012368 (Birch),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2512863,8/22/2025,COCONNOR@FSCO.COM,,,10,
F0009373-1,F0009373,1,MTO (F0009373),F. SCHUMACHER & CO - MTO,,,Valletta,Valletta - 5013521 (Moonstone),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",123 Linear Feet,123,0,0.05,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2441870,7/31/2025,PKEEFER@FSCO.COM,,,10,
F0009375-1,F0009375,1,MTO (F0009375),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5011883 (Seaglass),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2366370,7/8/2025,COCONNOR@FSCO.COM,,,10,
F0009377-1,F0009377,1,MTO (F0009377),F. SCHUMACHER & CO - MTO,,,Watercolor Stripe,Watercolor Stripe  - 5011572 (Lavender),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2412562,7/23/2025,SARAH,,,10,
F0009412-1,F0009412,1,MTO (F0009412),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5013602 (Eucalyptus),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",93 Linear Feet,93,0,0.04,30 inches,2,Chyna,300dpi,,Print,Invoiced,Invoiced,2370851,7/9/2025,COCONNOR@FSCO.COM,,,10,
F0009416-1,F0009416,1,MTO (F0009416),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5011899 (Mushroom),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2468020,8/8/2025,COCONNOR@FSCO.COM,,,10,
F0009430-1,F0009430,1,MTO (F0009430),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5011918 (Linen),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",183 Linear Feet,183,0,0.08,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2468054,8/8/2025,COCONNOR@FSCO.COM,,,10,
