PO Number,Line Number,Vendor name,Material,Storage,Unit Cost,Extended Cost,Vendor Sku,Description,Qty,Received Qty,Open Qty,Gl Code,Due date,Created by,Creation date,Last Updated By,Last Update Date,Invoice Number,Status,Source,Contract,Sales Order Status
301,1,OMNI W.C. INC,"BNYNeuKaliss 60"" 315Y","60"" Roll - ROLL",1.5,2700,,,1800,1800,0,,9/19/2025,BLAWLOR@FSCO.COM,8/25/2025,JMCDONOUGH2011@GMAIL.COM,9/23/2025,,Received Complete,Manual,,
284,1,Griswold,PARSailcloth (Natural),Fabric - ROLL,8.01,12816,SAILCLOTH NATURAL,,1600,1600,0,,9/19/2025,BLAWLOR@FSCO.COM,8/6/2025,JMCDONOUGH2011@GMAIL.COM,9/23/2025,,Received Complete,Manual,,
261,1,Brooklyn Navy Yard,ENG5018110W-60-BNY,"60"" Roll - ROLL",17.49,139.92,ENG5018110W-60-BNY,,8,8,0,,7/15/2025,BLAWLOR@FSCO.COM,7/15/2025,JMCDONOUGH2011@GMAIL.COM,7/23/2025,,Received Complete,Manual,,
257,1,Sattler,PARAT5409 Natural White,Fabric - ROLL,11.01,11010,AT5409 Natural White (AT),,1000,1009,0,,7/31/2025,BLAWLOR@FSCO.COM,7/1/2025,JMCDONOUGH2011@GMAIL.COM,7/28/2025,,Received Complete,Manual,,
254,1,TWIL WALLCOVERINGS,PNW5008841 PAPERWEAVE (NATURAL),"36"" Roll - ROLL",7.71,1542,5008841,,200,240,0,,6/27/2025,BLAWLOR@FSCO.COM,6/17/2025,DFARLEY@FSCO.COM,7/10/2025,,Received Complete,Manual,,
227,1,OMNI W.C. INC,"TYPE II GOLD MYLAR / NON-WOVEN 20oz 30""","30"" Roll - ROLL",6.96,13920,,,2000,2075,0,,5/30/2025,BLAWLOR@FSCO.COM,5/12/2025,JMCDONOUGH2011@GMAIL.COM,7/2/2025,,Received Complete,Manual,,
217,1,"P+W International Co., Ltd.",PNWFAB225 SENECA,"36"" Roll - ROLL",8.01,24.03,PNWFAB225,,3,279.6,0,,6/6/2025,BLAWLOR@FSCO.COM,4/30/2025,JMCDONOUGH2011@GMAIL.COM,6/13/2025,,Received Complete,Manual,,
212,1,Sattler,PARProse (14500 Snow),Fabric - ROLL,14.01,588.42,14500 Snow,,42,42,0,,4/25/2025,BLAWLOR@FSCO.COM,4/18/2025,DFARLEY@FSCO.COM,4/24/2025,,Received Complete,Manual,,
206,1,TAYLOR,PAR372 Tan,Fabric - ROLL,14.46,574.79,"372 55"" tan",,39.75,39.75,0,,4/25/2025,BLAWLOR@FSCO.COM,4/11/2025,DFARLEY@FSCO.COM,4/17/2025,,Received Complete,Manual,,
192,1,OMNI W.C. INC,"PARCPG7113 60"" 500Y","60"" Roll - ROLL",1.8,450,CPG7113-60,,250,250,0,,4/11/2025,BLAWLOR@FSCO.COM,3/31/2025,JMCDONOUGH2011@GMAIL.COM,5/1/2025,,Received Complete,Manual,,
187,1,PALLET JUNCTION,Wooden Pallets 58x41,Shipping Supplies -,25.95,0,58x41,,0,0,0,,4/25/2025,BLAWLOR@FSCO.COM,3/26/2025,JMCDONOUGH2011@GMAIL.COM,5/1/2025,,Received Complete,Manual,,
170,1,OMNI W.C. INC,"PARCPG-optic 1 60"" 125Y","60"" Roll - ROLL",1.83,1830,CPG-optic 1,,1000,1000,0,,3/28/2025,BLAWLOR@FSCO.COM,2/28/2025,DFARLEY@FSCO.COM,3/31/2025,,Received Complete,Manual,,
