Order Type,Category or Customer,Category-Colors,Colors,2024 Ink Cost Per Yards,Ink Cost Per Yards,Min Production Labor Cost,Additional Yards Cost Per Yard,Occupancy Cost Per Yard,Avg Yards Order-Sku,Total Variable Cost,% Variable,Minutes to Print Per Color,Column14,Column15
Digital,Engineered Wings,Engineered Wings,,1.02,1.25,378.69,0.69,3.25,133,91.77,0.17934687,,,
Digital,Hospitality,Hospitality,,1.02,1.25,443.28,0.58,3.25,134,77.72,0.134631375,,,
Digital,Memo,Memo,,1.02,1.25,443.28,1.17,3.25,135,157.95,0.27313758,,,
Digital,MTO,MTO,,1.02,1.25,361.7,0.49,3.25,136,66.64,0.133895921,,,
Digital,Panel,Panel,,1.02,1.25,460.27,0.59,3.25,137,80.83,0.135332429,,,
Digital,Regular,Regular,,1.02,1.25,297.12,0.39,3.25,138,53.82,0.123690017,,,
Digital,Peel & Stick,Peel & Stick,,1.02,1.25,413.43,0.78,3.25,137,106.86,0.194139128,,,
Digital,Contract Wallpaper,Contract Wallpaper,,1.02,1.25,359.59,0.78,3.25,138,107.64,0.216322675,,,
Digital,Contract Fabric,Contract Fabric,,,,,,3.25,138,0,0,,,
Digital,Virtual Catalog for Order Type 1143,Virtual Catalog for Order Type 1143,,,,,,,,,,,,
Digital,Handling Fee,Handling Fee,,,,,,,,,,,,
Digital,Rush Fee - Digital,Rush Fee - Digital,,,,,,,,,,,,
Digital,Credit Memo,Credit Memo,,,,,,,,,,,,
Digital,Custom,Custom,,,,,,,,,,,,
Design Services,Design Services,Design Services,,,,,,,,,,,,
Screen Print,Paper,Paper,,0.73,0.94,200,1.1,2,137,150.7,0.447181009,1.1,,
Screen Print,,Paper-1,1,0.73,0.94,200,1.1,2,137,150.7,0.447181009,1.1,,
Screen Print,,Paper-2,2,0.73,0.94,240,1.62,2,137,221.94,0.588700265,1.62,,
Screen Print,,Paper-3,3,0.73,0.94,280,2.14,2,137,293.18,0.703069544,2.14,,
Screen Print,,Paper-4,4,0.73,0.94,320,2.66,2,137,364.42,0.797417943,2.66,,
Screen Print,,Paper-5,5,0.73,0.94,360,3.18,2,137,435.66,0.876579477,3.18,,
Screen Print,,Paper-6,6,0.73,0.94,400,3.7,2,137,506.9,0.943947858,3.7,,
Screen Print,,Paper-7,7,0.73,0.94,440,4.2,2,137,575.4,0.997227036,4.2,,
Screen Print,,Paper-8,8,0.73,0.94,480,4.72,2,137,646.64,1.048038898,4.72,,
Screen Print,,Paper-9,9,0.73,0.94,520,5.24,2,137,717.88,1.092663623,5.24,,
Screen Print,,Paper-10,10,0.73,0.94,560,5.76,2,137,789.12,1.132166428,5.76,,
Screen Print,,Paper-11,11,0.73,0.94,600,6.28,2,137,860.36,1.167381275,6.28,,
Screen Print,,Paper-12,12,0.73,0.94,640,6.8,2,137,931.6,1.198970399,6.8,,
Screen Print,,Paper-13,13,0.73,0.94,680,7.32,2,137,1002.84,1.22746634,7.32,,
Screen Print,,Paper-14,14,0.73,0.94,720,7.84,2,137,1074.08,1.253302217,7.84,,
Screen Print,,Paper-15,15,0.73,0.94,760,8.36,2,137,1145.32,1.276833891,8.36,,
Screen Print,,Paper-16,16,0.73,0.94,800,8.88,2,137,1216.56,1.298356457,8.88,,
Screen Print,,Paper-17,17,0.73,0.94,840,9.4,2,137,1287.8,1.318116684,9.4,,
Screen Print,,Paper-18,18,0.73,0.94,880,9.92,2,137,1359.04,1.336322517,9.92,,
Screen Print,,Paper-19,19,0.73,0.94,920,10.44,2,137,1430.28,1.353150426,10.44,,
Screen Print,,Paper-20,20,0.73,0.94,960,10.96,2,137,1501.52,1.368751139,10.96,,
Screen Print,Fabric,Fabric,,0.73,0.94,160,5.15,2,133,684.95,2.337713311,5.15,,
Screen Print,,Fabric-1,1,0.73,0.94,160,5.15,2,133,684.95,2.337713311,5.15,,
Screen Print,,Fabric-2,2,0.73,0.94,200,6.52,2,133,867.16,2.604084084,6.52,,
Screen Print,,Fabric-3,3,0.73,0.94,240,7.89,2,133,1049.37,2.813324397,7.89,,
Screen Print,,Fabric-4,4,0.73,0.94,280,9.26,2,133,1231.58,2.982033898,9.26,,
Screen Print,,Fabric-5,5,0.73,0.94,320,10.63,2,133,1413.79,3.120949227,10.63,,
Screen Print,,Fabric-6,6,0.73,0.94,360,12,2,133,1596,3.237322515,12,,
Screen Print,,Fabric-7,7,0.73,0.94,400,13.37,2,133,1778.21,3.336228893,13.37,,
