ITEM_SKU,LINE_DESCRIPTION,COLOR,PRODUCT_TYPE,FINISHED_WIDTH,FINISHED_HEIGHT,PRINTED_WIDTH,PRINTED_HEIGHT,PRODUCT_SIZE,PANEL_COUNT,PRODUCT_NAME,MATERIAL,UOM,HISTORICAL_YIELD,MATERIAL_COST,UNIT_PRICE,QTY,PRODUCT_DESCRIPTION,STATUS,NUMBER_UP,CUT_OPTION,SPECIAL_DETAILS,FORMAT,PATTERN_WIDTH,PATTERN_HEIGHT,BOLT_SIZE,ORDER_TYPE,NUMBER_OF_COLORS,STORAGE_TYPE,Source
AC850-09CST,Safari Embroidery Custom,New Navy on Tinted L/C,Fabric,,,60,36,,,Safari Embroidery Custom AC850-09CST (New Navy on Tinted L/C),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC206-30,Melinda,French Blue,Fabric,,,60,36,,,Melinda AC206-30 (French Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2110-15,Nairobi,French Blue,Fabric,,,60,36,,,Nairobi 2110-15 (French Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC804B-01,Potalla Background,French Blue,Fabric,,,60,36,,,Potalla Background AC804B-01 (French Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306580F-03,Ikat Stripe,Sea Blue Pale Ivory,Fabric,,,60,36,,,Ikat Stripe 306580F-03 (Sea Blue Pale Ivory),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2490-15,FIORENTINA,TURQUOISE TEAL,Fabric,,,60,36,,,FIORENTINA 2490-15 (TURQUOISE TEAL),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
304180F-102,BORGHESE,SOFT LAVENDER,Fabric,,,60,36,,,Borghese 304180F-102 (Soft Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306700F-03,Chantilly Stripe,SOFT LAVENDER,Fabric,,,60,36,,,Chantilly Stripe 306700F-03 (Soft Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC855-04,Safari,SOFT LAVENDER,Fabric,,,60,36,,,Safari AC855-04 (Soft Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC850-04,Safari Embroidery,SOFT LAVENDER,Fabric,,,60,36,,,Safari Embroidery AC850-04 (Soft Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
