Year,Month,Year Month,Digital Act Labor,Digital Occupancy Costs,Screen Act Labor,Screen Act Occupancy Costs,Digital Income Adjust,Screen Income Adjust,Digital Material Adjust,Screen Material Adjust,Digital WIP Adjust,Screen WIP Adjust,Admin Costs,Printers Monthly Hours,BNY Printers Monthly Hours,Para Production Monthly Hours,BNY Production Monthly Hours,Para Production Monthly Cost,BNY Production Monthly Cost
2022,Jan,1/1/2022,115000,45000,115000,45000,,,,,,,,,,,,,
2022,Feb,2/1/2022,115000,50000,115000,50000,,,,,,,,,,,,,
2022,Mar,3/1/2022,115000,55000,115000,55000,,,,,,,,,,,,,
2022,Apr,4/1/2022,115000,60000,115000,60000,,,,,,,,,,,,,
2022,May,5/1/2022,115000,65000,115000,65000,,,,,,,,,,,,,
2022,Jun,6/1/2022,115000,70000,115000,70000,,,,,,,,,,,,,
2022,Jul,7/1/2022,115000,75000,115000,75000,,,,,,,,,,,,,
2022,Aug,8/1/2022,115000,80000,115000,80000,,,,,,,,,,,,,
2022,Sep,9/1/2022,115000,85000,115000,85000,,,,,,,,,,,,,
2022,Oct,10/1/2022,115000,90000,115000,90000,,,,,,,,,,,,,
2022,Nov,11/1/2022,115000,95000,115000,95000,,,,,,,,,,,,,
2022,Dec,12/1/2022,115000,100000,115000,100000,,,,,,,,,,,,,
2023,Jan,1/1/2023,125129.96,107221.02,83381.29,99759.98,,,,,,,,,,,,,
2023,Feb,2/1/2023,92478.73,95295.57,116534.22,93773.38,,,,,,,,,,,,,
2023,Mar,3/1/2023,134748.55,152888.78,158987.77,76887.44,,,,,,,,,,,,,
2023,Apr,4/1/2023,110691.71,57085.69,129846.64,73212.47,,,,,,,,,,,,,
2023,May,5/1/2023,106196.21,136693.4,127241.62,80756.62,,,,,,,,,,,,,
2023,Jun,6/1/2023,121210.77,68210.61,123221.42,59830.47,,,,,,,,,,,,,
2023,Jul,7/1/2023,93844,99668.29,115939.56,65018.78,,,,,,,,,,,,,
2023,Aug,8/1/2023,94058.06,-61139.79,174171.41,67934.43,,,,,,,,,,,,,
2023,Sep,9/1/2023,116584.97,96594.54,123187.43,62470.66,,,,,,,,,,,,,
2023,Oct,10/1/2023,98907.26,116093.95,92996.47,38834.58,,,,,,,,,,,,,
2023,Nov,11/1/2023,109302.33,51452.52,93863.46,64549.38,,,,,,,,,,,,,
2023,Dec,12/1/2023,110000,246691.35,80168.88,18907.88,,,,,,,,,,,,,
2024,Jan,1/1/2024,130511.41,47170.22,76125.03,46202.73,3694.04,14749.5,-3738.3326,-2933.1188,,,,,,,,,
2024,Feb,2/1/2024,98386.5,80954.31,95319.76,46959.31,7235,2046.49,-26331.5259,15720.5335,,,,,,,,,
2024,Mar,3/1/2024,108165.52,66413.96,89920.27,35079.24,21213.5,-22686.94,41117.04465,7035.9938,,,,,,,,,
2024,Apr,4/1/2024,94584.48,71244.16,86268.87,49245.48,-10701,-14107.55,-4083.0163,16541.8012,,,,,,,,,
2024,May,5/1/2024,77758.61,94912.27,70762.61,37379.98,35437,-2729.69,-18307.4061,9243.7815,11776.47,,,,,,,,
2024,Jun,6/1/2024,97067.92,110613.32,98977.03,35498.66,19614,7007.95,-39814.05016,24367.254,0,,,,,,,,
2024,Jul,7/1/2024,73602.35,85969.54,77775.36,83103.41,600,1489,40415.6448,-55146.6935,17528.77,,,,,,,,
2024,Aug,8/1/2024,67444.07,90281.73,76632.28,107033.68,2708,-4396.3699,-504.26713,-41584.0101,49515.27,,,,,,,,
2024,Sep,9/1/2024,83459.08,82451.46,117312.76,19037.26,-63106.54,27872.725,-15313.07506,81841.81145,-26587.66,,,,,,,,
2024,Oct,10/1/2024,70451.68,111988.2,98701.21,83338.68,10001,6999.16,-38764.93302,-84310.8247,-9895.22,,,,,,,,
2024,Nov,11/1/2024,67018.05,56429.64,103906.54,36874.66,2030,26439.52,5685.8611,-26545.1421,41567,,,,,,,,
2024,Dec,12/1/2024,87912.83,101278.54,183421.68,61641.12,13340,-16132.69,-27394.8126,64176.5116,-402.17,,,,,,,,
2025,Jan,1/1/2025,65541.35,70121.74,78485.1,55927.13,-24255.75,3204.5,1481.497942,8354.1413,58801.6,,,1639,750,3985,1324,76076.41,33660.81
2025,Feb,2/1/2025,77512.62,101846.9,118736.69,82833.77,22903,2022.755,-46186.22538,13809.76575,-22335.81,,,2535,952,5402,1661,116731.08,45362.65
2025,Mar,3/1/2025,113479.4,96323.04,130850.06,96854.48,400.05,10785.875,-11586.522,938.2462,-1481.46,39199.68,,2596,1085,5832,1944,125649.83,51301.22
2025,Apr,4/1/2025,66490.29,87794.32,122604.24,58761.68,0,-17841.254,2887.005822,18986.50148,-14114.78,3144.21,,1890,626,4384,1301,90031.51,33371.13
2025,May,5/1/2025,69242.89,108634.72,136235.79,64212.38,10075,2939.5,-15533.46476,-16354.5188,-36118.49,-5612.54,,2072,625,4657,1292,98678.29,33036.42
2025,Jun,6/1/2025,74251.28,55982.63,176479.16,67774.27,21348,0,3948.06625,23614.442,-7322.79,21960.32,107739.21,2742,803,6250,1662,133050.2,43313.64
2025,Jul,7/1/2025,60009.94,69478.65,150092.2,53437.65,8693,4657.5,-15177.00104,-23628.0638,-20822.34,-28264.32,78789.72,2140,740,4655,1562,97772.83,40422.84
2025,Aug,8/1/2025,61254.15,61263.66,179048.13,64969.08,7830,-8123.8,-10666.80586,33214.52665,4006.43,66026.42,109471.19,2711,818,5416,1628,123765.54,41750.86
2025,Sep,9/1/2025,76753.98,75560.44,234308.46,97651.52,3850,-13345.95,-33481.91988,-74663.2287,-1889.11,-22593.41,67119.12,3388,1224,7337,2085,168019.41,52266.84
2025,Oct,10/1/2025,62685.47,62122.41,193600.06,46583.69,23091.72,-2769.75,16921.07769,-5368.195167,12739.35,54373.44,93295.35,,,,,,
2025,Nov,11/1/2025,62000,75000,164000,64000,,,,,,,63000,,,,,,
2025,Dec,12/1/2025,107041,141248,275956,80717,,,,,,,68000,,,,,,
