Vendor,Order Type,Material Shu vs Non Shu,Order Type Screen All Together,MATERIAL,Substrate Description,Current vs Old Sku,Replacement Ground,Material Group,Material Color,Material Group - Color,Product Type,Material Width,Cost Per Yard,Avg Sisal Cost Per Yard,All Grounds Cost Per Yard,Curr Vendor Cost Per Yard,FOB Cost Per Yard,On Hand Yards,BNY On Hand,Para On Hand,2025 Ground,3rd Party Price,Schumacher Price,Lead Time (in weeks),Lead Time in Months
"P+W International Co., Ltd.",Schumacher,Schu,Schumacher,5000722 Strie Sisal (Woodrose),5000722 Strie Sisal (Woodrose),Current,5000722 Strie Sisal (Woodrose),Schumacher,Assorted,Schumacher-Assorted,GRASS,36,1,1.5,1,1,,0,0,0,,,,,5
"P+W International Co., Ltd.",Schumacher,Schu,Schumacher,5000724 Strie Sisal (Burnt Orange),5000724 Strie Sisal (Burnt Orange),Current,5000724 Strie Sisal (Burnt Orange),Schumacher,Assorted,Schumacher-Assorted,GRASS,36,1,1.5,1,1,,0,0,0,,,,,5
"P+W International Co., Ltd.",Schumacher,Schu,Schumacher,5000730 CELEBES SISAL (Sand),5000730 CELEBES SISAL (Sand),Current,5000730 CELEBES SISAL (Sand),Schumacher,Assorted,Schumacher-Assorted,GRASS,36,1,1.5,1,1,,0,0,0,,,,,5
"P+W International Co., Ltd.",Schumacher,Schu,Schumacher,5000731 CELEBES SISAL (Camel),5000731 CELEBES SISAL (Camel),Current,5000731 CELEBES SISAL (Camel),Schumacher,Assorted,Schumacher-Assorted,GRASS,36,1,1.5,1,1,,0,0,0,,,,,5
"P+W International Co., Ltd.",Schumacher,Schu,Schumacher,5000732 CELEBES SISAL (lichen),5000732 CELEBES SISAL (lichen),Current,5000732 CELEBES SISAL (lichen),Schumacher,Assorted,Schumacher-Assorted,GRASS,36,1,1.5,1,1,,0,0,0,,,,,5
"P+W International Co., Ltd.",Schumacher,Schu,Schumacher,5000741 SUMBA SISAL (Flax),5000741 SUMBA SISAL (Flax),Current,5000741 SUMBA SISAL (Flax),Schumacher,Assorted,Schumacher-Assorted,GRASS,36,1,1.5,1,1,,0,0,0,,,,,5
"P+W International Co., Ltd.",Schumacher,Schu,Schumacher,5000743 SUMBA SISAL (Caramel),5000743 SUMBA SISAL (Caramel),Current,5000743 SUMBA SISAL (Caramel),Schumacher,Assorted,Schumacher-Assorted,GRASS,36,1,1.5,1,1,,0,0,0,,,,,5
"P+W International Co., Ltd.",Schumacher,Schu,Schumacher,5000750 Jinan Arrowroot (Pewter),5000750 Jinan Arrowroot (Pewter),Current,5000750 Jinan Arrowroot (Pewter),Schumacher,Assorted,Schumacher-Assorted,GRASS,36,1,1.5,1,1,,0,0,0,,,,,5
"P+W International Co., Ltd.",Schumacher,Schu,Schumacher,5000760 Suwon Sisal (Aqua),5000760 Suwon Sisal (Aqua),Current,5000760 Suwon Sisal (Aqua),Schumacher,Assorted,Schumacher-Assorted,GRASS,36,1,1.5,1,1,,0,0,0,,,,,5
"P+W International Co., Ltd.",Schumacher,Schu,Schumacher,5000761 Suwon Sisal (Champagne),5000761 Suwon Sisal (Champagne),Current,5000761 Suwon Sisal (Champagne),Schumacher,Assorted,Schumacher-Assorted,GRASS,36,1,1.5,1,1,,0,0,0,,,,,5
