ITEM_SKU,LINE_DESCRIPTION,COLOR,PRODUCT_TYPE,FINISHED_WIDTH,FINISHED_HEIGHT,PRINTED_WIDTH,PRINTED_HEIGHT,PRODUCT_SIZE,PANEL_COUNT,PRODUCT_NAME,MATERIAL,UOM,HISTORICAL_YIELD,MATERIAL_COST,UNIT_PRICE,QTY,PRODUCT_DESCRIPTION,STATUS,NUMBER_UP,CUT_OPTION,SPECIAL_DETAILS,FORMAT,PATTERN_WIDTH,PATTERN_HEIGHT,BOLT_SIZE,ORDER_TYPE,NUMBER_OF_COLORS,STORAGE_TYPE,Source
1/10/2025P,1 Color 10-25 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
1/101-200P,1 Color 101-200 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
1/201-500P,1 Color 200-500 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
1/26/1950P,1 Color 26-50 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
10/10/2025P,10 Colors 10-25 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
10/200-500P,10 Colors 200-500 Yds Min 10 Yards Print,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
10/26/1950P,10 Colors 26-50 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
10/51-100P,10 Colors 51-100 Yds Min 10 Yards Printe,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
11/10/2025P,11 Colors 10-25 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
11/100-200P,11 Colors 100-200 Yds Min 10 Yards Print,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
11/200-500P,11 Colors 200-500 Yds Min 10 Yards Print,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
11/26/1950P,11 Colors 26-50 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
11/51-100P,11 Colors 51-100 Yds Min 10 Yards Printe,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
12/10/2025P,12 Colors 10-25 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
13/51-100P,13 Colors 51-100 Yds Min 10 Yards Printe,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
14/100-200P,14 Colors 100-200 Yds Min 10 Yards Print,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
14/10-25P,14 Colors 10-25 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
14/26-50P,14 Colors 26-50 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
14/51-100P,14 Colors 51-100 Yds Min 10 Yards Printe,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
178490P,COPP COLOR: BLACK,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
178491P,COPP COLOR: NATURAL,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
2/10/2025P,2 Colors 10-25 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
2/100-200P,2 Colors 100-200 Yds Min 10 Yards Printe,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
2/51-100P,2 Colors 51-100 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
2/BMP,2 Colors Below Minimum,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
3/100-200P,3 Colors 100-200 Yds Min 10 Yards Printe,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
3/26/1950P,3 Colors 26-50 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
3/51-100P,3 Colors 51-100 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
3/BMP,3 Colors Below Minimum,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
4/10/2025P,4 Colors 10-25 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
4/100-200P,4 Colors 100-200 Yds Min 10 Yards Printe,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
4/51-100P,4 Colors 51-100 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
5/10/2025P,5 Colors 10-25 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
5/100-200P,5 Colors 100-200 Yds Min 10 Yards Printe,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
5/26/1950P,5 Colors 26-50 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
5/51-100P,5 Colors 51-100 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
6/10/2025P,6 Colors 10-25 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
6/100-200P,6 Colors 100-200 Yds Min 10 Yards Printe,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
6/26/1950P,6 Colors 26-50 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
6/51-100P,6 Colors 51-100 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
61004P,MEADOW - WALL (HAZE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
61005P,MEADOW - WALLPAPER (PEAT),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
7/10/2025P,7 Colors 10-25 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
7/26/1950P,7 Colors 26-50 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
7/51-100P,7 Colors 51-100 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
79770.0739999999P,ASHANTI TAN,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
79770.641P,ASHANTI ORANGE,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
8/10/2025P,8 Colors 10-25 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
8/100-200P,8 Colors 100-200 Yds Min 10 Yards Printe,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
8/26/1950P,8 Colors 26-50 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
8/51-100P,8 Colors 51-100 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
8013142.11P,WOOD/11/BIRCH,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
8013142.15P,WOOD: RIVER,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
8013142.16P,WOOD: TAN,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
8013142.19P,WOOD: CARDINAL,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
8013142.29999999P,WOOD: LEAF,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
8013142.5P,WOOD: INDIGO,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
8013142.67999999P,WOOD: BARK,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
9/10/2025P,9 Colors 10-25 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
9/26/1950P,9 Colors 26-50 Yds Min 10 Yards Printed,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
A435-0003P,A435 OATMEAL-0003 PFP,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
ADL1P,ARDLEY - FABRIC (PINK/ROSE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
